UnitID,Name,State,AverageTotalCost,AcceptanceRate,TotalApplicants,FullTimeTotal,FullTimeMen,FullTimeWomen,SATCR25%,SATCR75%,SATWR25%,SATWR75%,SATM25%,SATM75%,%RaceAmericanIndian,%RaceAsian,%RaceBlack,%RaceHispanic,%RaceWhite,%RaceUnknown,OutOfStateTuition
164924,Boston College,MA,70588,31,28956,13209,6065,7144,620,720,640,730,740,640,0,0,4,9,58,7,53346
164988,Boston University,MA,70302,29,57441,26986,10995,15991,590,680,600,690,740,630,0,0,4,9,40,8,52082
165015,Brandeis University,MA,70943,33,11351,5158,2151,3007,610,710,640,710,770,660,0,0,5,6,45,4,53537
217156,Brown University,RI,71050,9,32390,9495,4609,4886,680,780,690,780,790,690,0,0,6,10,41,7,53419
110404,California Institute of Technology,CA,68901,8,6855,2238,1423,815,740,800,730,800,800,770,0,0,1,8,33,0,49908
211440,Carnegie Mellon University,PA,70094,22,21189,12972,7480,5492,660,750,670,760,800,720,0,0,3,5,25,5,53910
201645,Case Western Reserve University,OH,65384,35,23115,10464,5294,5170,600,720,620,720,770,680,0,0,6,5,47,3,47500
231624,College of William and Mary,VA,59012,37,14382,7965,3483,4482,630,730,620,720,740,620,0,0,7,8,61,4,43670
190150,Columbia University in the City of New York,NY,74199,7,37009,25404,12233,13171,700,790,690,790,800,710,0,0,5,8,32,4,57208
190415,Cornell University,NY,70321,14,44965,22923,11585,11338,650,750,,,780,680,0,0,5,10,36,8,52853
182670,Dartmouth College,NH,71827,11,20675,6389,3308,3081,670,780,670,780,780,680,1,0,6,9,48,3,53368
198419,Duke University,NC,71764,11,31671,15329,7810,7519,680,770,690,780,800,700,1,0,7,6,45,3,53500
139658,Emory University,GA,66950,25,19924,12630,5180,7450,630,730,640,730,770,660,0,0,10,7,44,4,49392
131496,Georgetown University,DC,71580,17,19997,14585,6682,7903,660,760,,,760,660,0,0,7,8,51,7,52300
139755,Georgia Institute of Technology-Main Campus,GA,49366,26,30528,20483,13175,7308,640,730,640,730,770,680,0,0,6,6,44,2,33014
166027,Harvard University,MA,69600,5,39041,20918,10708,10210,710,800,710,790,800,720,0,0,5,8,42,4,48949
162928,Johns Hopkins University,MD,69863,13,27852,14393,6866,7527,690,770,670,770,800,710,0,0,8,8,43,4,52170
166683,Massachusetts Institute of Technology,MA,67430,8,19020,11181,6803,4378,700,790,690,780,800,760,0,0,3,9,32,5,49892
193900,New York University,NY,71790,32,60724,42324,18352,23972,620,720,630,730,760,630,0,0,6,11,32,7,50464
167358,Northeastern University,MA,68177,29,51063,20616,10620,9996,650,740,640,730,770,680,0,0,3,6,39,6,49497
147767,Northwestern University,IL,72980,11,35100,17664,8909,8755,690,760,680,770,800,710,0,0,5,8,44,8,52678
121150,Pepperdine University,CA,70862,37,11111,5728,2307,3421,550,650,550,650,680,560,0,0,7,12,43,9,51992
186131,Princeton University,NJ,66150,7,29303,8139,4428,3711,690,790,710,790,800,710,0,0,6,8,39,4,47140
227757,Rice University,TX,63158,15,18236,6697,3891,2806,690,770,680,770,800,720,0,0,5,11,36,2,45608
243744,Stanford University,CA,69109,5,43997,16189,8991,7198,680,780,690,780,800,700,0,0,4,10,34,3,49617
228778,The University of Texas at Austin,TX,51786,40,47511,47980,22844,25136,560,680,560,690,730,580,0,0,4,20,42,1,36744
168148,Tufts University,MA,70600,14,20223,10598,4762,5836,680,750,680,750,770,690,0,0,4,7,54,5,54318
160755,Tulane University of Louisiana,LA,69764,26,32006,10486,4446,6040,620,710,640,720,700,620,0,0,8,7,62,2,52960
110635,University of California-Berkeley,CA,65003,17,82561,38952,18992,19960,620,750,630,760,790,650,0,0,2,14,29,5,42184
110644,University of California-Davis,CA,63743,42,68553,36047,14917,21130,510,630,530,650,700,540,0,0,2,19,29,2,42433
110653,University of California-Irvine,CA,61872,41,77816,34452,16633,17819,490,620,510,620,710,570,0,0,2,24,17,2,41752
110662,University of California-Los Angeles,CA,61915,18,97112,42454,19123,23331,570,710,590,730,760,590,0,0,3,19,29,3,41275
110680,University of California-San Diego,CA,60177,36,84208,34566,18139,16427,560,680,600,710,770,610,0,0,2,16,21,2,42032
110705,University of California-Santa Barbara,CA,64125,36,77112,24465,11482,12983,550,660,510,630,730,570,0,0,2,25,33,3,42465
144050,University of Chicago,IL,75735,8,31484,13802,7344,6458,720,800,700,780,800,730,0,0,4,9,41,4,56034
134130,University of Florida,FL,43409,46,30118,43861,19667,24194,580,680,570,670,690,600,0,1,6,18,53,3,28659
139959,University of Georgia,GA,44978,54,22694,33967,14428,19539,570,670,560,660,670,570,0,0,8,5,67,1,30392
145637,University of Illinois at Urbana-Champaign,IL,46202,60,38093,42850,23136,19714,580,690,590,690,790,705,0,0,5,9,43,1,31194
170976,University of Michigan-Ann Arbor,MI,62176,29,55504,43517,21897,21620,640,730,640,730,770,670,0,0,4,6,55,5,47476
199120,University of North Carolina at Chapel Hill,NC,51152,27,34889,25108,10354,14754,600,700,590,700,720,610,0,0,8,7,61,4,34588
152080,University of Notre Dame,IN,69395,19,19505,12255,6678,5577,670,760,,,780,680,0,0,4,9,66,1,51505
215062,University of Pennsylvania,PA,71715,9,38918,21599,10318,11281,680,770,690,780,800,700,0,0,6,8,43,3,53534
195030,University of Rochester,NY,70108,36,17485,9766,5083,4683,,,,,,,0,0,5,6,44,6,52020
123961,University of Southern California,CA,72209,17,54280,39281,18424,20857,630,730,650,750,770,650,0,0,6,14,32,3,54259
234076,University of Virginia-Main Campus,VA,62633,30,32377,22167,10560,11607,620,720,620,720,740,620,0,0,6,6,58,5,47273
240444,University of Wisconsin-Madison,WI,49885,53,32839,38568,18790,19778,560,660,590,690,760,640,0,0,2,5,69,1,34783
221999,Vanderbilt University,TN,67392,11,32442,11782,5495,6287,700,790,690,770,800,720,0,0,9,8,55,4,47664
199847,Wake Forest University,NC,69130,30,14006,7648,3558,4090,,,,,,,0,1,8,6,67,1,51400
179867,Washington University in St Louis,MO,71975,17,29197,13248,6342,6906,690,770,690,770,800,710,0,0,7,6,47,3,51533
130794,Yale University,CT,71290,6,31445,12878,6424,6454,710,800,710,790,800,710,0,0,6,9,44,1,51400
